time,hip_flexion_r,knee_angle_r,ankle_angle_r
0.4,0.965462767183959,0.20495992542042807,0.5119094489561695
0.41666667,0.9759980210300561,0.27370491431026067,0.5118437685041013
0.43333333,0.983232464235335,0.34899338432017557,0.5067004189897889
0.45,0.9786257508789405,0.4309513768360905,0.4937153115937688
0.46666667,0.977665863438454,0.5167972588357539,0.47311588105864383
0.48333333,0.9624437532186083,0.6116526571325903,0.4466227201775207
0.5,0.9488027648029701,0.7055261061744297,0.4227960014187711
0.51666667,0.9362056795568966,0.7938109007179164,0.4074204161776721
0.53333333,0.9235158857853293,0.8725521416798238,0.40644784141747015
0.55,0.9127175808804925,0.937529412736971,0.4158335224150184
0.56666667,0.9105925348065794,0.9788979511282236,0.4379076439551987
0.58333333,0.9132833542697318,0.9999999999999999,0.45164505788146503
0.6,0.9183974829784872,0.9989051408740499,0.45965468199624415
0.61666667,0.9330674124617171,0.9751710776776757,0.4485094022772014
0.63333333,0.9488457499260594,0.9374940124160185,0.4194824697230793
0.65,0.9670728603018066,0.8931384035010417,0.3751717846653922
0.66666667,0.9832054193923253,0.8486618263011417,0.3270917768299582
0.68333333,0.9981506983113043,0.7982672743091974,0.3018938601981166
0.7,1.0,0.7517301881677765,0.3019163980685082
0.71666667,0.990809486333485,0.7182317977420025,0.30805587177567084
0.73333333,0.9845838590146005,0.6877404297889547,0.3284871582821024
0.75,0.9680965907031311,0.6689904434384635,0.35795944198139296
0.76666667,0.95232651706215,0.6549981795111173,0.4014187966827369
0.78333333,0.9307222314854247,0.6505467418873012,0.4413995849519247
0.8,0.9055937368598841,0.6482720853662085,0.4881837078088387
0.81666667,0.8697290531335607,0.6568636028534491,0.5245951835149081
0.83333333,0.8335559964027397,0.6657237062931949,0.5603117778293027
0.85,0.7922301859166828,0.6807103054318862,0.5862129566790296
0.86666667,0.7501572354063947,0.6939172099742825,0.6116318911062648
0.88333333,0.7083029167835715,0.7132586116772004,0.6281448988915261
0.9,0.6623439143149561,0.7317573980879347,0.6439630867249029
0.91666667,0.6205190548304366,0.7506703984231903,0.6558326726676144
0.93333333,0.5762180021826075,0.772370271680842,0.6625551739956377
0.95,0.548782229545602,0.7828939789077763,0.6816596476109786
0.96666667,0.518320510407644,0.7967100375843557,0.6945182912929799
0.98333333,0.4728454573618384,0.814839128931633,0.7036736854251031
1.0,0.4403153687779923,0.8243863494358018,0.7218158052281629
1.01666667,0.40696245194347747,0.8349516021050595,0.739156100224521
1.03333333,0.37200152225755156,0.8481799043756676,0.7517956899901305
1.05,0.3352890188069622,0.8598103518096201,0.7648936083011215
1.06666667,0.30639640723912603,0.8697031812721293,0.7790921901687785
1.08333333,0.2745079577453394,0.8803310968277799,0.7950969680112268
1.1,0.24154166195685212,0.8922586735788558,0.8077164713540652
1.11666667,0.21111399629079647,0.9005693518129434,0.8269544746981294
1.13333333,0.18263604557200808,0.904514053059209,0.8514346372210493
1.15,0.14609035079946947,0.9100121676635574,0.8719651305563807
1.16666667,0.11138998753092577,0.916081355540433,0.8914285981812113
1.18333333,0.07947996984208161,0.9149867085516571,0.9143418437468861
1.2,0.05181153150781065,0.9154494264655934,0.9302274586777893
1.21666667,0.029907136749948493,0.904634865039895,0.9522090330234491
1.23333333,0.012421028359549335,0.8903309563512708,0.9714586247896171
1.25,0.002401202420391657,0.8705573892451729,0.9855672640709936
1.26666667,0.0,0.8443383440555038,0.9967956327677432
1.28333333,0.010667607435993487,0.8063723997377021,1.0
1.3,0.01770604926638103,0.7694451068705235,0.9805121859806738
1.31666667,0.032205086091756374,0.7182779233042755,0.9474584952956048
1.33333333,0.05650791586506332,0.6553377887376144,0.8894985694319801
1.35,0.08728612975941835,0.5819496079900158,0.7923918201377251
1.36666667,0.13544263842568743,0.49868445937156525,0.649802769804212
1.38333333,0.19884037121086262,0.41049432334572633,0.467194961411296
1.4,0.26873354915922515,0.3261696819187603,0.26807730587145817
1.41666667,0.33323791242301665,0.2518943079665368,0.09628190519252161
1.43333333,0.4035650763875675,0.1817857307077042,0.004373236855215179
1.45,0.46872689212271695,0.1218544114247676,0.0
1.46666667,0.5245854639347539,0.07812715995585062,0.05747253190902041
1.48333333,0.5793567817005837,0.04102869030053646,0.14882697472130318
1.5,0.6367476264125476,0.015308169009125017,0.2431423524184932
1.51666667,0.6870545464259983,0.002062226329078487,0.32282603459245723
1.53333333,0.7345781945472565,0.0,0.3829418124699955
1.55,0.7892785326751286,0.004970900552622837,0.42646478149104133
1.56666667,0.8270919982288756,0.025770958583726244,0.4528898798116671
1.58333333,0.8671000073994863,0.05428607593401813,0.47047790267440653
1.6,0.8984354455673507,0.09387794324343479,0.48245300048503814
